"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","19-Mar-2018","       1171.90","       1164.00","       1180.50","       1142.65","       1148.00","       1146.75","       1156.94","    3763310","          4353937861.65","     114366","    2314477","         61.50"
"INFY","EQ","20-Mar-2018","       1146.75","       1148.60","       1170.00","       1148.60","       1164.55","       1164.55","       1159.74","    4276883","          4960076507.65","     111232","    3115015","         72.83"
"INFY","EQ","21-Mar-2018","       1164.55","       1170.00","       1175.50","       1162.20","       1166.20","       1167.50","       1171.53","    3846497","          4506270593.40","     121529","    3113984","         80.96"
"INFY","EQ","22-Mar-2018","       1167.50","       1164.50","       1177.45","       1155.30","       1156.00","       1161.30","       1167.57","    3406584","          3977430906.00","      82774","    2545448","         74.72"
"INFY","EQ","23-Mar-2018","       1161.30","       1147.00","       1173.80","       1142.35","       1165.00","       1167.60","       1164.59","    6004042","          6992254285.45","     117145","    4213799","         70.18"
"INFY","EQ","26-Mar-2018","       1167.60","       1166.90","       1166.90","       1144.00","       1155.60","       1155.25","       1153.17","    4465361","          5149317138.80","     101964","    3248748","         72.75"
"INFY","EQ","27-Mar-2018","       1155.25","       1160.00","       1161.30","       1150.10","       1152.10","       1154.00","       1154.45","    1901044","          2194657345.75","      67860","    1174247","         61.77"
"INFY","EQ","28-Mar-2018","       1154.00","       1150.75","       1150.75","       1126.25","       1140.00","       1131.80","       1136.18","    6279161","          7134252850.65","     118878","    4775433","         76.05"
"INFY","EQ","02-Apr-2018","       1131.80","       1141.00","       1149.55","       1121.30","       1136.70","       1137.15","       1135.86","    4036351","          4584716919.60","     142078","    2960225","         73.34"
"INFY","EQ","03-Apr-2018","       1137.15","       1134.70","       1143.55","       1128.10","       1139.40","       1140.45","       1135.21","    2038584","          2314226757.45","     114034","    1366638","         67.04"
"INFY","EQ","04-Apr-2018","       1140.45","       1144.00","       1144.55","       1120.00","       1122.70","       1124.20","       1131.81","    2406651","          2723878712.95","     137029","    1472105","         61.17"
"INFY","EQ","05-Apr-2018","       1124.20","       1139.55","       1151.30","       1129.10","       1146.05","       1147.55","       1140.71","    3881772","          4427993459.70","     101745","    2899162","         74.69"
"INFY","EQ","06-Apr-2018","       1147.55","       1143.00","       1146.00","       1122.10","       1127.55","       1127.00","       1128.81","    2968871","          3351285043.15","     137277","    1891236","         63.70"
"INFY","EQ","09-Apr-2018","       1127.00","       1125.00","       1125.80","       1106.55","       1111.45","       1111.25","       1113.12","    3601441","          4008832076.50","     171118","    2529586","         70.24"
"INFY","EQ","10-Apr-2018","       1111.25","       1112.00","       1124.50","       1105.40","       1114.65","       1113.40","       1115.77","    4463029","          4979728694.75","     144468","    3520250","         78.88"
"INFY","EQ","11-Apr-2018","       1113.40","       1118.00","       1131.50","       1116.50","       1124.50","       1124.25","       1124.78","    4512787","          5075891572.85","     102586","    3296304","         73.04"
"INFY","EQ","12-Apr-2018","       1124.25","       1129.45","       1172.75","       1125.00","       1164.05","       1162.60","       1157.71","    8522183","          9866189146.65","     216130","    5624945","         66.00"
"INFY","EQ","13-Apr-2018","       1162.60","       1174.00","       1185.90","       1150.25","       1168.00","       1171.45","       1172.37","   10613519","         12442924999.05","     180965","    5370870","         50.60"
"INFY","EQ","16-Apr-2018","       1171.45","       1102.00","       1140.00","       1102.00","       1134.50","       1133.20","       1125.66","   12372542","         13927236192.55","     201992","    5012390","         40.51"
"INFY","EQ","17-Apr-2018","       1133.20","       1127.00","       1127.40","       1115.00","       1124.65","       1125.20","       1121.63","    5198970","          5831317995.90","     203792","    3086531","         59.37"
"INFY","EQ","18-Apr-2018","       1125.20","       1122.85","       1134.75","       1113.85","       1125.95","       1125.95","       1124.27","    5215190","          5863305787.10","     121114","    3220905","         61.76"
"INFY","EQ","19-Apr-2018","       1125.95","       1124.00","       1139.80","       1123.10","       1133.40","       1132.85","       1132.61","    4262771","          4828035903.70","     119470","    3277709","         76.89"
"INFY","EQ","20-Apr-2018","       1132.85","       1139.00","       1193.70","       1136.95","       1179.65","       1178.45","       1171.78","   12136346","         14221070741.95","     213680","    7374221","         60.76"
"INFY","EQ","23-Apr-2018","       1178.45","       1168.00","       1214.40","       1155.25","       1185.95","       1187.70","       1186.79","   10915319","         12954180381.05","     190031","    5762099","         52.79"
"INFY","EQ","24-Apr-2018","       1187.70","       1185.00","       1196.40","       1150.10","       1154.25","       1154.50","       1168.64","    4263108","          4982039811.20","      87918","    2175530","         51.03"
"INFY","EQ","25-Apr-2018","       1154.50","       1152.00","       1171.00","       1145.20","       1155.95","       1160.35","       1160.85","    5797089","          6729546264.95","     122892","    3549969","         61.24"
"INFY","EQ","26-Apr-2018","       1160.35","       1174.00","       1181.65","       1160.00","       1177.05","       1176.45","       1172.76","    5651042","          6627322945.00","     120489","    3710955","         65.67"
"INFY","EQ","27-Apr-2018","       1176.45","       1180.00","       1191.60","       1174.20","       1184.65","       1185.20","       1183.90","    3831685","          4536321753.30","     103259","    2521063","         65.80"
